origin,destination,count
Nigeria,Zambia,576
Senegal,Zambia,161
Botswana,Zambia,1041
Namibia,Zambia,713
South Africa,Zambia,3487
Burundi,Zambia,6258
Kenya,Zambia,608
Malawi,Zambia,12355
Mozambique,Zambia,1476
Rwanda,Zambia,8470
Uganda,Zambia,516
United Republic of Tanzania,Zambia,6090
Zimbabwe,Zambia,15478
Australia,Zambia,298
Canada,Zambia,226
United States of America,Zambia,1077
Botswana,Zimbabwe,3825
South Africa,Zimbabwe,19524
Malawi,Zimbabwe,107051
Mozambique,Zimbabwe,121628
Zambia,Zimbabwe,31359
Portugal,Angola,5711
Chad,Angola,1928
Congo,Angola,1081
Democratic Republic of the Congo,Angola,92242
Sao Tome and Principe,Angola,6990
Cabo Verde,Angola,9400
Côte d'Ivoire,Angola,12896
Guinea,Angola,18504
Namibia,Angola,909
South Africa,Angola,6421
Mozambique,Angola,254
Rwanda,Angola,1286
Zambia,Angola,314
Greece,Cameroon,193
Italy,Cameroon,516
France,Cameroon,4695
Germany,Cameroon,298
Netherlands,Cameroon,161
Angola,Cameroon,2599
Central African Republic,Cameroon,264537
Chad,Cameroon,24318
Congo,Cameroon,3004
Democratic Republic of the Congo,Cameroon,4148
Equatorial Guinea,Cameroon,3415
Gabon,Cameroon,1073
Benin,Cameroon,2441
Guinea,Cameroon,4656
Liberia,Cameroon,4328
Mali,Cameroon,8344
Niger,Cameroon,10684
Nigeria,Cameroon,148076
Senegal,Cameroon,3207
Canada,Cameroon,181
United States of America,Cameroon,832
Cyprus,Central African Republic,7
Turkey,Central African Republic,7
Italy,Central African Republic,73
Slovenia,Central African Republic,47
Austria,Central African Republic,23
France,Central African Republic,10645
Netherlands,Central African Republic,36
Switzerland,Central African Republic,161
Russian Federation,Central African Republic,151
Denmark,Central African Republic,2
Ireland,Central African Republic,11
Sweden,Central African Republic,13
Egypt,Central African Republic,42
Sudan,Central African Republic,21726
Chad,Central African Republic,11141
Democratic Republic of the Congo,Central African Republic,19128
Sao Tome and Principe,Central African Republic,81
Mali,Central African Republic,334
Togo,Central African Republic,9
South Africa,Central African Republic,57
Australia,Central African Republic,11
Canada,Central African Republic,206
United States of America,Central African Republic,608
France,Chad,1158
Libya,Chad,1433
Sudan,Chad,354817
Cameroon,Chad,33936
Central African Republic,Chad,96813
Congo,Chad,934
Democratic Republic of the Congo,Chad,335
Gabon,Chad,382
Niger,Chad,3416
Nigeria,Chad,3265
Lebanon,Congo,1202
China,Congo,952
Portugal,Congo,1485
France,Congo,10637
Germany,Congo,596
Russian Federation,Congo,2655
Angola,Congo,42506
Cameroon,Congo,11647
Central African Republic,Congo,33701
Chad,Congo,10889
Democratic Republic of the Congo,Congo,175608
Equatorial Guinea,Congo,1630
Gabon,Congo,3260
Benin,Congo,15661
Mali,Congo,34961
Mauritania,Congo,3245
Senegal,Congo,13673
Togo,Congo,2511
Rwanda,Congo,25891
Cuba,Congo,552
United States of America,Congo,171
Sudan,Democratic Republic of the Congo,5432
Angola,Democratic Republic of the Congo,179065
Central African Republic,Democratic Republic of the Congo,326984
Congo,Democratic Republic of the Congo,6314
Burundi,Democratic Republic of the Congo,59826
Rwanda,Democratic Republic of the Congo,254225
South Sudan,Democratic Republic of the Congo,92018
Uganda,Democratic Republic of the Congo,6019
Spain,Equatorial Guinea,1406
France,Equatorial Guinea,5017
Cameroon,Equatorial Guinea,877
Gabon,Equatorial Guinea,281
Sao Tome and Principe,Equatorial Guinea,1642
Nigeria,Equatorial Guinea,394
Israel,Gabon,16
Lebanon,Gabon,2481
Syrian Arab Republic,Gabon,27
China,Gabon,342
Japan,Gabon,30
Republic of Korea,Gabon,192
Belgium,Gabon,496
France,Gabon,15947
Germany,Gabon,86
Algeria,Gabon,108
Morocco,Gabon,709
Tunisia,Gabon,221
Angola,Gabon,1098
Cameroon,Gabon,50273
Chad,Gabon,4489
Congo,Gabon,16194
Democratic Republic of the Congo,Gabon,8838
Equatorial Guinea,Gabon,86305
Sao Tome and Principe,Gabon,6458
Benin,Gabon,51809
Burkina Faso,Gabon,6938
Côte d'Ivoire,Gabon,3367
Ghana,Gabon,6314
Guinea,Gabon,4938
Mali,Gabon,54744
Nigeria,Gabon,23730
Senegal,Gabon,30272
Togo,Gabon,22842
South Africa,Gabon,13
Burundi,Gabon,165
Rwanda,Gabon,207
Canada,Gabon,289
United States of America,Gabon,544
Portugal,Sao Tome and Principe,107
Angola,Sao Tome and Principe,325
Equatorial Guinea,Sao Tome and Principe,132
Gabon,Sao Tome and Principe,215
Cabo Verde,Sao Tome and Principe,1237
Mozambique,Sao Tome and Principe,105
India,Botswana,5668
Pakistan,Botswana,466
Sri Lanka,Botswana,992
China,Botswana,4792
Italy,Botswana,548
Portugal,Botswana,466
Germany,Botswana,338
Netherlands,Botswana,640
Denmark,Botswana,346
Ireland,Botswana,629
Norway,Botswana,393
Sweden,Botswana,439
Angola,Botswana,782
Democratic Republic of the Congo,Botswana,1133
Nigeria,Botswana,1238
Lesotho,Botswana,279
Namibia,Botswana,992
South Africa,Botswana,5751
Kenya,Botswana,1215
Madagascar,Botswana,563
Malawi,Botswana,1484
Mauritius,Botswana,233
Mozambique,Botswana,607
Seychelles,Botswana,10
Uganda,Botswana,326
United Republic of Tanzania,Botswana,818
Zambia,Botswana,4429
Zimbabwe,Botswana,64477
Australia,Botswana,393
Canada,Botswana,186
United States of America,Botswana,923
India,Lesotho,240
Pakistan,Lesotho,240
China,Lesotho,127
Ghana,Lesotho,93
Botswana,Lesotho,113
Namibia,Lesotho,4
South Africa,Lesotho,2751
Malawi,Lesotho,37
Mozambique,Lesotho,24
Uganda,Lesotho,144
United Republic of Tanzania,Lesotho,89
Zambia,Lesotho,72
Zimbabwe,Lesotho,72
United States of America,Lesotho,93
Afghanistan,Namibia,44
Bangladesh,Namibia,32
India,Namibia,697
Iran (Islamic Republic of),Namibia,30
Pakistan,Namibia,171
Armenia,Namibia,64
Bahrain,Namibia,49
Israel,Namibia,111
Lebanon,Namibia,47
Turkey,Namibia,35
Indonesia,Namibia,93
Philippines,Namibia,254
Thailand,Namibia,76
China,Namibia,3216
Japan,Namibia,116
Republic of Korea,Namibia,35
Italy,Namibia,853
Portugal,Namibia,447
Spain,Namibia,355
Austria,Namibia,630
Belgium,Namibia,190
France,Namibia,554
Germany,Namibia,9388
Luxembourg,Namibia,44
Netherlands,Namibia,534
Switzerland,Namibia,442
Bulgaria,Namibia,30
Poland,Namibia,173
Romania,Namibia,30
Russian Federation,Namibia,469
Ukraine,Namibia,265
Denmark,Namibia,116
Finland,Namibia,81
Ireland,Namibia,61
Norway,Namibia,53
Sweden,Namibia,103
Algeria,Namibia,500
Egypt,Namibia,179
Libya,Namibia,35
Sudan,Namibia,205
Angola,Namibia,39580
Cameroon,Namibia,121
Congo,Namibia,1156
Democratic Republic of the Congo,Namibia,3675
Benin,Namibia,160
Burkina Faso,Namibia,73
Côte d'Ivoire,Namibia,30
Gambia,Namibia,88
Ghana,Namibia,147
Guinea,Namibia,53
Nigeria,Namibia,1017
Senegal,Namibia,30
Sierra Leone,Namibia,168
Botswana,Namibia,681
Lesotho,Namibia,130
South Africa,Namibia,8785
Burundi,Namibia,402
Ethiopia,Namibia,218
Kenya,Namibia,1149
Malawi,Namibia,382
Mauritius,Namibia,109
Mozambique,Namibia,141
Rwanda,Namibia,370
Seychelles,Namibia,57
Somalia,Namibia,96
Uganda,Namibia,497
United Republic of Tanzania,Namibia,1136
Zambia,Namibia,3132
Zimbabwe,Namibia,14968
Australia,Namibia,554
New Zealand,Namibia,50
Antigua and Barbuda,Namibia,485
Bahamas,Namibia,50
Cuba,Namibia,703
Argentina,Namibia,50
Brazil,Namibia,552
Chile,Namibia,32
Canada,Namibia,194
United States of America,Namibia,1087
Afghanistan,South Africa,162
Bangladesh,South Africa,4430
India,South Africa,42302
Iran (Islamic Republic of),South Africa,1228
Maldives,South Africa,95
Nepal,South Africa,217
Pakistan,South Africa,17506
Sri Lanka,South Africa,1723
Bahrain,South Africa,285
Cyprus,South Africa,8600
Iraq,South Africa,285
Israel,South Africa,7818
Jordan,South Africa,95
Kuwait,South Africa,154
Lebanon,South Africa,1618
Oman,South Africa,49
Saudi Arabia,South Africa,1079
State of Palestine,South Africa,163
Syrian Arab Republic,South Africa,200
Turkey,South Africa,1971
United Arab Emirates,South Africa,308
Yemen,South Africa,151
Brunei Darussalam,South Africa,34
Indonesia,South Africa,2127
Lao People's Democratic Republic,South Africa,49
Malaysia,South Africa,1590
Myanmar,South Africa,373
Philippines,South Africa,2617
Singapore,South Africa,1590
Thailand,South Africa,1529
Viet Nam,South Africa,278
China,South Africa,41004
Japan,South Africa,3059
Republic of Korea,South Africa,2911
Kyrgyzstan,South Africa,59
Albania,South Africa,280
Bosnia and Herzegovina,South Africa,351
Croatia,South Africa,1747
Gibraltar,South Africa,91
Greece,South Africa,15804
Italy,South Africa,40824
Malta,South Africa,592
Portugal,South Africa,47622
Serbia,South Africa,6783
Spain,South Africa,2545
Austria,South Africa,9433
Belgium,South Africa,13915
France,South Africa,13255
Germany,South Africa,99284
Luxembourg,South Africa,39
Monaco,South Africa,39
Netherlands,South Africa,35207
Switzerland,South Africa,3436
Belarus,South Africa,414
Bulgaria,South Africa,6882
Poland,South Africa,17250
Romania,South Africa,2828
Russian Federation,South Africa,5942
Slovakia,South Africa,733
Ukraine,South Africa,6663
Denmark,South Africa,4420
Estonia,South Africa,250
Finland,South Africa,1130
Iceland,South Africa,49
Ireland,South Africa,21187
Latvia,South Africa,732
Lithuania,South Africa,699
Norway,South Africa,1944
Sweden,South Africa,418
Algeria,South Africa,778
Egypt,South Africa,8084
Libya,South Africa,280
Morocco,South Africa,1896
Sudan,South Africa,5199
Tunisia,South Africa,195
Angola,South Africa,69659
Cameroon,South Africa,4319
Central African Republic,South Africa,202
Congo,South Africa,34445
Democratic Republic of the Congo,South Africa,53363
Gabon,South Africa,541
Benin,South Africa,336
Côte d'Ivoire,South Africa,2020
Ghana,South Africa,11669
Guinea,South Africa,132
Guinea-Bissau,South Africa,48
Liberia,South Africa,1310
Mali,South Africa,184
Niger,South Africa,32
Nigeria,South Africa,28965
Saint Helena,South Africa,390
Senegal,South Africa,4828
Sierra Leone,South Africa,863
Botswana,South Africa,73310
Lesotho,South Africa,331312
Namibia,South Africa,184496
Burundi,South Africa,11468
Comoros,South Africa,340
Eritrea,South Africa,997
Ethiopia,South Africa,5429
Kenya,South Africa,28769
Madagascar,South Africa,746
Malawi,South Africa,108474
Mauritius,South Africa,14883
Mozambique,South Africa,716057
Réunion,South Africa,582
Rwanda,South Africa,8268
Seychelles,South Africa,1162
Somalia,South Africa,32696
South Sudan,South Africa,106
Uganda,South Africa,8488
United Republic of Tanzania,South Africa,16769
Zambia,South Africa,97672
Zimbabwe,South Africa,376668
Niue,South Africa,32
Australia,South Africa,12611
New Zealand,South Africa,5473
Fiji,South Africa,76
Papua New Guinea,South Africa,99
Nauru,South Africa,34
Northern Mariana Islands,South Africa,39
Barbados,South Africa,48
British Virgin Islands,South Africa,34
Cuba,South Africa,2679
Jamaica,South Africa,336
Saint Kitts and Nevis,South Africa,39
Trinidad and Tobago,South Africa,39
Argentina,South Africa,4145
Bolivia (Plurinational State of),South Africa,280
Brazil,South Africa,5131
Chile,South Africa,1165
Colombia,South Africa,1035
Guyana,South Africa,95
Paraguay,South Africa,202
Peru,South Africa,351
Uruguay,South Africa,195
Venezuela (Bolivarian Republic of),South Africa,521
Guatemala,South Africa,154
Mexico,South Africa,497
Nicaragua,South Africa,185
Panama,South Africa,99
Bermuda,South Africa,101
Canada,South Africa,9964
United States of America,South Africa,17763
France,Benin,1388
Chad,Benin,1032
Congo,Benin,4029
Burkina Faso,Benin,12784
Côte d'Ivoire,Benin,33996
Ghana,Benin,16056
Mali,Benin,3472
Niger,Benin,77300
Nigeria,Benin,86226
Togo,Benin,112300
Benin,Burkina Faso,4308
Côte d'Ivoire,Burkina Faso,557732
Ghana,Burkina Faso,33225
Mali,Burkina Faso,36763
Niger,Burkina Faso,13155
Nigeria,Burkina Faso,5331
Senegal,Burkina Faso,4158
Togo,Burkina Faso,15874
Timor-Leste,Cabo Verde,8
China,Cabo Verde,24
Japan,Cabo Verde,1
Italy,Cabo Verde,427
Portugal,Cabo Verde,1216
Spain,Cabo Verde,150
Belgium,Cabo Verde,10
France,Cabo Verde,210
Germany,Cabo Verde,70
Luxembourg,Cabo Verde,4
Netherlands,Cabo Verde,38
Switzerland,Cabo Verde,13
Russian Federation,Cabo Verde,732
Ukraine,Cabo Verde,23
Angola,Cabo Verde,388
Gabon,Cabo Verde,8
Sao Tome and Principe,Cabo Verde,1796
Côte d'Ivoire,Cabo Verde,7
Gambia,Cabo Verde,5
Ghana,Cabo Verde,44
Guinea,Cabo Verde,433
Guinea-Bissau,Cabo Verde,5263
Mali,Cabo Verde,7
Nigeria,Cabo Verde,703
Senegal,Cabo Verde,1551
Sierra Leone,Cabo Verde,15
Mozambique,Cabo Verde,27
Cuba,Cabo Verde,89
United States Virgin Islands,Cabo Verde,74
Argentina,Cabo Verde,4
Brazil,Cabo Verde,300
Peru,Cabo Verde,3
Mexico,Cabo Verde,3
United States of America,Cabo Verde,368
Libya,Côte d'Ivoire,6622
Benin,Côte d'Ivoire,70144
Burkina Faso,Côte d'Ivoire,1367916
Cabo Verde,Côte d'Ivoire,371
Gambia,Côte d'Ivoire,7392
Ghana,Côte d'Ivoire,111024
Guinea,Côte d'Ivoire,166489
Guinea-Bissau,Côte d'Ivoire,419
Liberia,Côte d'Ivoire,27962
Mali,Côte d'Ivoire,522146
Mauritania,Côte d'Ivoire,12661
Niger,Côte d'Ivoire,67766
Nigeria,Côte d'Ivoire,44791
Senegal,Côte d'Ivoire,30182
Sierra Leone,Côte d'Ivoire,847
Togo,Côte d'Ivoire,41253
Guinea,Gambia,45163
Guinea-Bissau,Gambia,13792
Liberia,Gambia,1082
Mali,Gambia,10349
Mauritania,Gambia,3643
Senegal,Gambia,132518
Sierra Leone,Gambia,2606
India,Ghana,980
Pakistan,Ghana,75
Sri Lanka,Ghana,22
Israel,Ghana,51
Lebanon,Ghana,1132
Syrian Arab Republic,Ghana,58
Philippines,Ghana,31
China,Ghana,261
Japan,Ghana,63
Italy,Ghana,265
France,Ghana,250
Netherlands,Ghana,210
Switzerland,Ghana,166
Poland,Ghana,52
Russian Federation,Ghana,75
Algeria,Ghana,14
Egypt,Ghana,43
Sudan,Ghana,28
Cameroon,Ghana,130
Chad,Ghana,16
Democratic Republic of the Congo,Ghana,33
Benin,Ghana,19338
Burkina Faso,Ghana,66069
Côte d'Ivoire,Ghana,72728
Gambia,Ghana,1851
Guinea,Ghana,157
Liberia,Ghana,34234
Mali,Ghana,5781
Mauritania,Ghana,14
Niger,Ghana,6806
Nigeria,Ghana,79023
Senegal,Ghana,84
Sierra Leone,Ghana,2685
Togo,Ghana,101677
Ethiopia,Ghana,33
Kenya,Ghana,16
Rwanda,Ghana,429
United Republic of Tanzania,Ghana,9
Australia,Ghana,37
Brazil,Ghana,14
Canada,Ghana,318
United States of America,Ghana,703
Afghanistan,Guinea,2
Bhutan,Guinea,2
India,Guinea,46
Nepal,Guinea,23
Pakistan,Guinea,18
Sri Lanka,Guinea,1
Armenia,Guinea,8
Azerbaijan,Guinea,4
Bahrain,Guinea,2
Israel,Guinea,10
Jordan,Guinea,1
Lebanon,Guinea,148
Saudi Arabia,Guinea,29
Syrian Arab Republic,Guinea,7
Turkey,Guinea,33
Cambodia,Guinea,8
Myanmar,Guinea,1
Philippines,Guinea,2
Thailand,Guinea,48
Viet Nam,Guinea,4
China,Guinea,161
Japan,Guinea,51
Republic of Korea,Guinea,406
Albania,Guinea,10
Andorra,Guinea,5
Bosnia and Herzegovina,Guinea,1
Croatia,Guinea,18
Italy,Guinea,78
Portugal,Guinea,13
Serbia,Guinea,1
Slovenia,Guinea,26
Spain,Guinea,1133
Belgium,Guinea,38
France,Guinea,236
Germany,Guinea,25
Liechtenstein,Guinea,3
Netherlands,Guinea,36
Switzerland,Guinea,16
Bulgaria,Guinea,2
Republic of Moldova,Guinea,2
Romania,Guinea,4
Russian Federation,Guinea,37
Ukraine,Guinea,8
Denmark,Guinea,63
Finland,Guinea,5
Latvia,Guinea,21
Norway,Guinea,1
Sweden,Guinea,2
Algeria,Guinea,6723
Egypt,Guinea,25
Libya,Guinea,42
Morocco,Guinea,317
Sudan,Guinea,6
Tunisia,Guinea,508
Angola,Guinea,109
Cameroon,Guinea,187
Central African Republic,Guinea,17
Chad,Guinea,371
Congo,Guinea,116
Democratic Republic of the Congo,Guinea,73
Equatorial Guinea,Guinea,10208
Gabon,Guinea,70
Sao Tome and Principe,Guinea,31
Benin,Guinea,389
Burkina Faso,Guinea,561
Cabo Verde,Guinea,32
Côte d'Ivoire,Guinea,7605
Gambia,Guinea,268
Ghana,Guinea,561
Guinea-Bissau,Guinea,4333
Liberia,Guinea,2639
Mali,Guinea,44855
Mauritania,Guinea,1101
Niger,Guinea,184
Nigeria,Guinea,363
Senegal,Guinea,2041
Sierra Leone,Guinea,8288
Togo,Guinea,508
Botswana,Guinea,47
Lesotho,Guinea,30
Namibia,Guinea,2
South Africa,Guinea,1194
Burundi,Guinea,37
Comoros,Guinea,726
Djibouti,Guinea,17
Eritrea,Guinea,21
Ethiopia,Guinea,11
Kenya,Guinea,1908
Madagascar,Guinea,9
Malawi,Guinea,16
Mauritius,Guinea,14
Mozambique,Guinea,18
Rwanda,Guinea,37
Seychelles,Guinea,2
Somalia,Guinea,5
South Sudan,Guinea,2
United Republic of Tanzania,Guinea,1
Zimbabwe,Guinea,3
Samoa,Guinea,26
Tonga,Guinea,927
Australia,Guinea,9
New Zealand,Guinea,1
Fiji,Guinea,2
Papua New Guinea,Guinea,15
Solomon Islands,Guinea,11
Kiribati,Guinea,2
Marshall Islands,Guinea,5
Micronesia (Federated States of),Guinea,2
Nauru,Guinea,17
Palau,Guinea,8
Antigua and Barbuda,Guinea,4249
Bahamas,Guinea,12
Barbados,Guinea,10
Cuba,Guinea,1704
Dominica,Guinea,12
Dominican Republic,Guinea,1
Haiti,Guinea,23
Saint Vincent and the Grenadines,Guinea,28
Argentina,Guinea,106
Bolivia (Plurinational State of),Guinea,4
Brazil,Guinea,13
Chile,Guinea,10
Colombia,Guinea,2503
Ecuador,Guinea,1
Belize,Guinea,1
Costa Rica,Guinea,112
El Salvador,Guinea,3
Honduras,Guinea,284
Nicaragua,Guinea,4
Canada,Guinea,43
United States of America,Guinea,287
Portugal,Guinea-Bissau,903
France,Guinea-Bissau,120
Cabo Verde,Guinea-Bissau,606
Gambia,Guinea-Bissau,1638
Guinea,Guinea-Bissau,5419
Liberia,Guinea-Bissau,952
Mauritania,Guinea-Bissau,613
Senegal,Guinea-Bissau,13632
Sierra Leone,Guinea-Bissau,879
Canada,Guinea-Bissau,62
United States of America,Guinea-Bissau,341
India,Liberia,678
Lebanon,Liberia,829
Italy,Liberia,47
Spain,Liberia,53
France,Liberia,55
Germany,Liberia,176
Netherlands,Liberia,56
Switzerland,Liberia,28
Sweden,Liberia,214
Benin,Liberia,23
Burkina Faso,Liberia,210
Côte d'Ivoire,Liberia,20090
Gambia,Liberia,677
Ghana,Liberia,8081
Guinea,Liberia,28963
Guinea-Bissau,Liberia,432
Mali,Liberia,1206
Niger,Liberia,214
Nigeria,Liberia,4689
Senegal,Liberia,325
Sierra Leone,Liberia,18099
Togo,Liberia,346
Canada,Liberia,46
United States of America,Liberia,429
Afghanistan,Mali,534
Israel,Mali,1504
Saudi Arabia,Mali,1637
United Arab Emirates,Mali,3428
Singapore,Mali,921
Thailand,Mali,505
China,Mali,3890
Japan,Mali,713
Kazakhstan,Mali,2069
Albania,Mali,1429
Andorra,Mali,1161
Croatia,Mali,1102
France,Mali,6066
Russian Federation,Mali,430
Algeria,Mali,534
Egypt,Mali,818
Libya,Mali,1221
Morocco,Mali,878
Sudan,Mali,684
Angola,Mali,1743
Cameroon,Mali,2010
Central African Republic,Mali,1057
Chad,Mali,670
Congo,Mali,11849
Democratic Republic of the Congo,Mali,2518
Equatorial Guinea,Mali,908
Gabon,Mali,13370
Benin,Mali,1802
Burkina Faso,Mali,60060
Côte d'Ivoire,Mali,188250
Gambia,Mali,1399
Ghana,Mali,5648
Guinea,Mali,40457
Guinea-Bissau,Mali,400
Liberia,Mali,1266
Mauritania,Mali,23331
Niger,Mali,12863
Nigeria,Mali,4113
Senegal,Mali,23389
Sierra Leone,Mali,2383
Togo,Mali,4337
South Africa,Mali,624
Rwanda,Mali,534
United Republic of Tanzania,Mali,996
Zambia,Mali,654
American Samoa,Mali,446
French Polynesia,Mali,385
British Virgin Islands,Mali,565
Grenada,Mali,416
Guadeloupe,Mali,1057
Turks and Caicos Islands,Mali,744
United States Virgin Islands,Mali,521
Chile,Mali,1728
Uruguay,Mali,565
United States of America,Mali,1607
Iraq,Mauritania,116
Kuwait,Mauritania,32
Lebanon,Mauritania,122
Saudi Arabia,Mauritania,316
