origin,destination,count
Cameroon,Zambia,18
Congo,Zambia,4330
Democratic Republic of the Congo,Zambia,58237
Ghana,Zambia,166
Mali,Zambia,194
Nigeria,Zambia,138
Senegal,Zambia,166
Botswana,Zambia,111
Namibia,Zambia,101
South Africa,Zambia,1535
Burundi,Zambia,1796
Kenya,Zambia,249
Malawi,Zambia,6937
Mozambique,Zambia,545
Rwanda,Zambia,5662
Uganda,Zambia,370
United Republic of Tanzania,Zambia,4322
Zimbabwe,Zambia,9056
Australia,Zambia,83
Canada,Zambia,157
United States of America,Zambia,462
Botswana,Zimbabwe,4012
South Africa,Zimbabwe,17024
Malawi,Zimbabwe,92989
Mozambique,Zimbabwe,197838
Zambia,Zimbabwe,26337
Portugal,Angola,7014
Chad,Angola,16
Congo,Angola,543
Democratic Republic of the Congo,Angola,17735
Sao Tome and Principe,Angola,4121
Cabo Verde,Angola,4724
Côte d'Ivoire,Angola,7
Guinea,Angola,173
Namibia,Angola,457
South Africa,Angola,3226
Mozambique,Angola,128
Rwanda,Angola,183
Zambia,Angola,158
France,Cameroon,10163
Chad,Cameroon,82221
Nigeria,Cameroon,90495
Cyprus,Central African Republic,11
Turkey,Central African Republic,10
Italy,Central African Republic,101
Slovenia,Central African Republic,66
Austria,Central African Republic,32
France,Central African Republic,14506
Netherlands,Central African Republic,50
Switzerland,Central African Republic,220
Russian Federation,Central African Republic,207
Denmark,Central African Republic,3
Ireland,Central African Republic,16
Sweden,Central African Republic,18
Egypt,Central African Republic,58
Sudan,Central African Republic,29587
Chad,Central African Republic,15183
Democratic Republic of the Congo,Central African Republic,26065
Sao Tome and Principe,Central African Republic,111
Mali,Central African Republic,457
Togo,Central African Republic,13
South Africa,Central African Republic,80
Australia,Central African Republic,16
Canada,Central African Republic,281
United States of America,Central African Republic,831
France,Chad,1039
Libya,Chad,1286
Sudan,Chad,28613
Cameroon,Chad,36353
Central African Republic,Chad,9463
Congo,Chad,839
Democratic Republic of the Congo,Chad,301
Gabon,Chad,343
Niger,Chad,3066
Nigeria,Chad,17386
Lebanon,Congo,580
China,Congo,459
Portugal,Congo,716
France,Congo,5127
Germany,Congo,288
Russian Federation,Congo,1280
Angola,Congo,31100
Cameroon,Congo,5614
Central African Republic,Congo,16245
Chad,Congo,5249
Democratic Republic of the Congo,Congo,183780
Equatorial Guinea,Congo,786
Gabon,Congo,1572
Benin,Congo,7549
Mali,Congo,16851
Mauritania,Congo,1564
Senegal,Congo,6591
Togo,Congo,1211
Rwanda,Congo,12480
Cuba,Congo,266
United States of America,Congo,83
Sudan,Democratic Republic of the Congo,16643
Angola,Democratic Republic of the Congo,325733
Congo,Democratic Republic of the Congo,9470
Burundi,Democratic Republic of the Congo,36692
Rwanda,Democratic Republic of the Congo,85936
South Sudan,Democratic Republic of the Congo,118742
Uganda,Democratic Republic of the Congo,24177
Spain,Equatorial Guinea,534
France,Equatorial Guinea,1903
Cameroon,Equatorial Guinea,333
Gabon,Equatorial Guinea,107
Sao Tome and Principe,Equatorial Guinea,623
Nigeria,Equatorial Guinea,150
Israel,Gabon,7
Lebanon,Gabon,1293
Syrian Arab Republic,Gabon,15
China,Gabon,179
Japan,Gabon,16
Republic of Korea,Gabon,100
Belgium,Gabon,258
France,Gabon,8312
Germany,Gabon,46
Algeria,Gabon,57
Morocco,Gabon,369
Tunisia,Gabon,116
Angola,Gabon,572
Cameroon,Gabon,26199
Chad,Gabon,2339
Congo,Gabon,8440
Democratic Republic of the Congo,Gabon,4607
Equatorial Guinea,Gabon,44984
Sao Tome and Principe,Gabon,3366
Benin,Gabon,26999
Burkina Faso,Gabon,3616
Côte d'Ivoire,Gabon,1755
Ghana,Gabon,3291
Guinea,Gabon,2574
Mali,Gabon,28529
Nigeria,Gabon,12367
Senegal,Gabon,15776
Togo,Gabon,11905
South Africa,Gabon,7
Burundi,Gabon,87
Rwanda,Gabon,108
Canada,Gabon,151
United States of America,Gabon,283
Portugal,Sao Tome and Principe,218
Angola,Sao Tome and Principe,654
Equatorial Guinea,Sao Tome and Principe,268
Gabon,Sao Tome and Principe,436
Cabo Verde,Sao Tome and Principe,2488
Mozambique,Sao Tome and Principe,213
India,Botswana,3032
Pakistan,Botswana,223
Sri Lanka,Botswana,613
China,Botswana,1348
Italy,Botswana,165
Portugal,Botswana,141
Germany,Botswana,341
Netherlands,Botswana,193
Denmark,Botswana,104
Ireland,Botswana,190
Norway,Botswana,118
Sweden,Botswana,133
Angola,Botswana,1320
Democratic Republic of the Congo,Botswana,1261
Nigeria,Botswana,285
Lesotho,Botswana,1212
Namibia,Botswana,687
South Africa,Botswana,13860
Kenya,Botswana,254
Madagascar,Botswana,238
Malawi,Botswana,1709
Mauritius,Botswana,700
Mozambique,Botswana,441
Seychelles,Botswana,95
Uganda,Botswana,570
United Republic of Tanzania,Botswana,1104
Zambia,Botswana,4773
Zimbabwe,Botswana,11763
Australia,Botswana,114
Canada,Botswana,106
United States of America,Botswana,55
India,Lesotho,215
Pakistan,Lesotho,215
China,Lesotho,114
Ghana,Lesotho,85
Botswana,Lesotho,102
Namibia,Lesotho,4
South Africa,Lesotho,2441
Malawi,Lesotho,36
Mozambique,Lesotho,23
Uganda,Lesotho,130
United Republic of Tanzania,Lesotho,81
Zambia,Lesotho,66
Zimbabwe,Lesotho,66
United States of America,Lesotho,85
Afghanistan,Namibia,58
Bangladesh,Namibia,44
India,Namibia,886
Iran (Islamic Republic of),Namibia,41
Pakistan,Namibia,219
Armenia,Namibia,84
Bahrain,Namibia,65
Israel,Namibia,143
Lebanon,Namibia,61
Turkey,Namibia,48
Indonesia,Namibia,120
Philippines,Namibia,325
Thailand,Namibia,98
China,Namibia,4078
Japan,Namibia,150
Republic of Korea,Namibia,48
Italy,Namibia,1083
Portugal,Namibia,570
Spain,Namibia,452
Austria,Namibia,801
Belgium,Namibia,242
France,Namibia,705
Germany,Namibia,11896
Luxembourg,Namibia,58
Netherlands,Namibia,679
Switzerland,Namibia,564
Bulgaria,Namibia,41
Poland,Namibia,222
Romania,Namibia,41
Russian Federation,Namibia,597
Ukraine,Namibia,338
Denmark,Namibia,150
Finland,Namibia,104
Ireland,Namibia,80
Norway,Namibia,71
Sweden,Namibia,133
Algeria,Namibia,637
Egypt,Namibia,229
Libya,Namibia,48
Sudan,Namibia,262
Angola,Namibia,49790
Cameroon,Namibia,156
Congo,Namibia,1468
Democratic Republic of the Congo,Namibia,4179
Benin,Namibia,206
Burkina Faso,Namibia,94
Côte d'Ivoire,Namibia,41
Gambia,Namibia,114
Ghana,Namibia,189
Guinea,Namibia,71
Nigeria,Namibia,1290
Senegal,Namibia,41
Sierra Leone,Namibia,216
Botswana,Namibia,865
Lesotho,Namibia,166
South Africa,Namibia,11132
Burundi,Namibia,511
Ethiopia,Namibia,278
Kenya,Namibia,1458
Malawi,Namibia,485
Mauritius,Namibia,141
Mozambique,Namibia,182
Rwanda,Namibia,471
Seychelles,Namibia,75
Somalia,Namibia,123
Uganda,Namibia,633
United Republic of Tanzania,Namibia,1442
Zambia,Namibia,3971
Zimbabwe,Namibia,18964
Australia,Namibia,705
New Zealand,Namibia,67
Antigua and Barbuda,Namibia,616
Bahamas,Namibia,67
Cuba,Namibia,893
Argentina,Namibia,67
Brazil,Namibia,702
Chile,Namibia,44
Canada,Namibia,248
United States of America,Namibia,1379
Afghanistan,South Africa,30
Bangladesh,South Africa,1064
India,South Africa,16920
Iran (Islamic Republic of),South Africa,295
Maldives,South Africa,24
Nepal,South Africa,53
Pakistan,South Africa,4181
Sri Lanka,South Africa,415
Bahrain,South Africa,70
Cyprus,South Africa,2065
Iraq,South Africa,68
Israel,South Africa,1877
Jordan,South Africa,24
Kuwait,South Africa,38
Lebanon,South Africa,389
Oman,South Africa,14
Saudi Arabia,South Africa,260
State of Palestine,South Africa,41
Syrian Arab Republic,South Africa,49
Turkey,South Africa,475
United Arab Emirates,South Africa,76
Yemen,South Africa,35
Brunei Darussalam,South Africa,10
Indonesia,South Africa,512
Lao People's Democratic Republic,South Africa,14
Malaysia,South Africa,382
Myanmar,South Africa,91
Philippines,South Africa,630
Singapore,South Africa,382
Thailand,South Africa,368
Viet Nam,South Africa,68
China,South Africa,9841
Japan,South Africa,735
Republic of Korea,South Africa,700
Albania,South Africa,69
Bosnia and Herzegovina,South Africa,79
Croatia,South Africa,428
Gibraltar,South Africa,23
Greece,South Africa,3794
Italy,South Africa,9798
Malta,South Africa,144
Portugal,South Africa,19048
Serbia,South Africa,1600
Spain,South Africa,613
Austria,South Africa,2265
Belgium,South Africa,3340
France,South Africa,3182
Germany,South Africa,23826
Luxembourg,South Africa,12
Monaco,South Africa,11
Netherlands,South Africa,8450
Switzerland,South Africa,826
Belarus,South Africa,101
Bulgaria,South Africa,1653
Poland,South Africa,4141
Romania,South Africa,680
Russian Federation,South Africa,1427
Slovakia,South Africa,177
Ukraine,South Africa,1600
Denmark,South Africa,1062
Estonia,South Africa,61
Finland,South Africa,273
Iceland,South Africa,14
Ireland,South Africa,5085
Latvia,South Africa,176
Lithuania,South Africa,169
Norway,South Africa,468
Sweden,South Africa,102
Algeria,South Africa,188
Egypt,South Africa,1942
Libya,South Africa,69
Morocco,South Africa,456
Sudan,South Africa,1205
Tunisia,South Africa,48
Angola,South Africa,15785
Cameroon,South Africa,992
Central African Republic,South Africa,50
Congo,South Africa,7885
Democratic Republic of the Congo,South Africa,8332
Gabon,South Africa,131
Benin,South Africa,82
Côte d'Ivoire,South Africa,481
Ghana,South Africa,2797
Guinea,South Africa,33
Guinea-Bissau,South Africa,13
Liberia,South Africa,254
Mali,South Africa,45
Niger,South Africa,9
Nigeria,South Africa,6932
Saint Helena,South Africa,95
Senegal,South Africa,1157
Sierra Leone,South Africa,166
Botswana,South Africa,17593
Lesotho,South Africa,113578
Namibia,South Africa,44274
Burundi,South Africa,1543
Comoros,South Africa,83
Eritrea,South Africa,225
Ethiopia,South Africa,1242
Kenya,South Africa,6894
Madagascar,South Africa,181
Malawi,South Africa,26025
Mauritius,South Africa,3573
Mozambique,South Africa,237813
Réunion,South Africa,141
Rwanda,South Africa,1311
Seychelles,South Africa,280
Somalia,South Africa,6302
Uganda,South Africa,1991
United Republic of Tanzania,South Africa,3911
Zambia,South Africa,23416
Zimbabwe,South Africa,128983
Niue,South Africa,9
Australia,South Africa,3028
New Zealand,South Africa,1314
Fiji,South Africa,20
Papua New Guinea,South Africa,25
Nauru,South Africa,10
Northern Mariana Islands,South Africa,12
Barbados,South Africa,13
British Virgin Islands,South Africa,10
Cuba,South Africa,645
Jamaica,South Africa,82
Saint Kitts and Nevis,South Africa,11
Trinidad and Tobago,South Africa,11
Argentina,South Africa,996
Bolivia (Plurinational State of),South Africa,69
Brazil,South Africa,1233
Chile,South Africa,281
Colombia,South Africa,249
Guyana,South Africa,24
Paraguay,South Africa,50
Peru,South Africa,86
Uruguay,South Africa,48
Venezuela (Bolivarian Republic of),South Africa,126
Guatemala,South Africa,38
Mexico,South Africa,120
Nicaragua,South Africa,46
Panama,South Africa,25
Bermuda,South Africa,26
Canada,South Africa,2392
United States of America,South Africa,7087
France,Benin,650
Chad,Benin,253
Congo,Benin,691
Burkina Faso,Benin,6154
Côte d'Ivoire,Benin,4977
Ghana,Benin,3698
Mali,Benin,467
Niger,Benin,46883
Nigeria,Benin,27595
Togo,Benin,29771
Benin,Burkina Faso,3071
Côte d'Ivoire,Burkina Faso,383695
Ghana,Burkina Faso,29139
Mali,Burkina Faso,42260
Niger,Burkina Faso,10633
Nigeria,Burkina Faso,3801
Senegal,Burkina Faso,2965
Togo,Burkina Faso,10415
Timor-Leste,Cabo Verde,17
China,Cabo Verde,51
Japan,Cabo Verde,4
Italy,Cabo Verde,305
Portugal,Cabo Verde,929
Spain,Cabo Verde,50
Belgium,Cabo Verde,24
France,Cabo Verde,172
Germany,Cabo Verde,41
Luxembourg,Cabo Verde,10
Netherlands,Cabo Verde,82
Switzerland,Cabo Verde,29
Russian Federation,Cabo Verde,92
Ukraine,Cabo Verde,46
Angola,Cabo Verde,2209
Gabon,Cabo Verde,17
Sao Tome and Principe,Cabo Verde,3747
Côte d'Ivoire,Cabo Verde,15
Gambia,Cabo Verde,12
Ghana,Cabo Verde,93
Guinea,Cabo Verde,99
Guinea-Bissau,Cabo Verde,1138
Mali,Cabo Verde,14
Nigeria,Cabo Verde,144
Senegal,Cabo Verde,627
Sierra Leone,Cabo Verde,32
Mozambique,Cabo Verde,76
Cuba,Cabo Verde,115
United States Virgin Islands,Cabo Verde,39
Argentina,Cabo Verde,10
Brazil,Cabo Verde,130
Peru,Cabo Verde,4
Mexico,Cabo Verde,6
United States of America,Cabo Verde,275
Libya,Côte d'Ivoire,5623
Benin,Côte d'Ivoire,59538
Burkina Faso,Côte d'Ivoire,1161053
Cabo Verde,Côte d'Ivoire,318
Gambia,Côte d'Ivoire,6275
Ghana,Côte d'Ivoire,94236
Guinea,Côte d'Ivoire,141314
Guinea-Bissau,Côte d'Ivoire,358
Liberia,Côte d'Ivoire,23736
Mali,Côte d'Ivoire,443223
Mauritania,Côte d'Ivoire,10749
Niger,Côte d'Ivoire,57521
Nigeria,Côte d'Ivoire,38019
Senegal,Côte d'Ivoire,25619
Sierra Leone,Côte d'Ivoire,722
Togo,Côte d'Ivoire,35017
Guinea,Gambia,38423
Guinea-Bissau,Gambia,11733
Liberia,Gambia,173
Mali,Gambia,8805
Mauritania,Gambia,3100
Senegal,Gambia,112746
Sierra Leone,Gambia,2218
India,Ghana,506
Pakistan,Ghana,52
Sri Lanka,Ghana,17
Israel,Ghana,27
Lebanon,Ghana,585
Syrian Arab Republic,Ghana,41
Philippines,Ghana,22
China,Ghana,135
Japan,Ghana,33
Italy,Ghana,137
France,Ghana,130
Netherlands,Ghana,146
Switzerland,Ghana,116
Poland,Ghana,38
Russian Federation,Ghana,52
Algeria,Ghana,8
Egypt,Ghana,23
Sudan,Ghana,20
Cameroon,Ghana,68
Chad,Ghana,9
Democratic Republic of the Congo,Ghana,18
Benin,Ghana,9987
Burkina Faso,Ghana,46451
Côte d'Ivoire,Ghana,5465
Gambia,Ghana,21
Guinea,Ghana,82
Liberia,Ghana,13084
Mali,Ghana,4004
Mauritania,Ghana,10
Niger,Ghana,4714
Nigeria,Ghana,16584
Senegal,Ghana,59
Sierra Leone,Ghana,2385
Togo,Ghana,72060
Ethiopia,Ghana,18
Kenya,Ghana,9
Rwanda,Ghana,299
United Republic of Tanzania,Ghana,7
Australia,Ghana,19
Brazil,Ghana,8
Canada,Ghana,164
United States of America,Ghana,487
Saudi Arabia,Guinea,523
Syrian Arab Republic,Guinea,36
China,Guinea,166
Japan,Guinea,33
Republic of Korea,Guinea,172
Portugal,Guinea,295
Spain,Guinea,73
Belgium,Guinea,166
France,Guinea,1325
Russian Federation,Guinea,596
Ukraine,Guinea,104
Benin,Guinea,1897
Burkina Faso,Guinea,598
Cabo Verde,Guinea,78
Côte d'Ivoire,Guinea,3087
Gambia,Guinea,654
Guinea-Bissau,Guinea,3495
Liberia,Guinea,138141
Mali,Guinea,19422
Mauritania,Guinea,478
Niger,Guinea,1124
Nigeria,Guinea,734
Senegal,Guinea,8455
Sierra Leone,Guinea,365828
Togo,Guinea,1833
Cuba,Guinea,75
Brazil,Guinea,199
Canada,Guinea,239
United States of America,Guinea,689
Portugal,Guinea-Bissau,827
France,Guinea-Bissau,111
Cabo Verde,Guinea-Bissau,576
Gambia,Guinea-Bissau,1534
Guinea,Guinea-Bissau,4968
Liberia,Guinea-Bissau,908
Mauritania,Guinea-Bissau,563
Senegal,Guinea-Bissau,8119
Sierra Leone,Guinea-Bissau,960
Canada,Guinea-Bissau,58
United States of America,Guinea-Bissau,313
India,Liberia,742
Lebanon,Liberia,4056
Italy,Liberia,242
Spain,Liberia,275
France,Liberia,284
Germany,Liberia,890
Netherlands,Liberia,286
Switzerland,Liberia,142
Sweden,Liberia,1075
Benin,Liberia,61
Burkina Faso,Liberia,373
Côte d'Ivoire,Liberia,2093
Gambia,Liberia,630
Ghana,Liberia,9542
Guinea,Liberia,31145
Guinea-Bissau,Liberia,2171
Mali,Liberia,1889
Niger,Liberia,1081
Nigeria,Liberia,2294
Senegal,Liberia,233
Sierra Leone,Liberia,71154
Togo,Liberia,240
Canada,Liberia,238
United States of America,Liberia,2837
China,Mali,76
France,Mali,2347
Russian Federation,Mali,92
Algeria,Mali,554
Angola,Mali,67
Cameroon,Mali,567
Central African Republic,Mali,271
Congo,Mali,3856
Gabon,Mali,4279
Benin,Mali,520
Burkina Faso,Mali,20155
Côte d'Ivoire,Mali,54884
Gambia,Mali,570
Ghana,Mali,2388
Guinea,Mali,14659
Liberia,Mali,562
Mauritania,Mali,12423
Niger,Mali,5259
Nigeria,Mali,1524
Senegal,Mali,10719
Sierra Leone,Mali,1177
Togo,Mali,856
United States of America,Mali,223
Iraq,Mauritania,84
Kuwait,Mauritania,31
Lebanon,Mauritania,116
Saudi Arabia,Mauritania,300
State of Palestine,Mauritania,148
Syrian Arab Republic,Mauritania,137
United Arab Emirates,Mauritania,68
China,Mauritania,156
Republic of Korea,Mauritania,69
Italy,Mauritania,54
Spain,Mauritania,84
Belgium,Mauritania,60
Russian Federation,Mauritania,60
Algeria,Mauritania,1601
Egypt,Mauritania,222
Libya,Mauritania,136
Morocco,Mauritania,337
Tunisia,Mauritania,243
Cameroon,Mauritania,385
Chad,Mauritania,51
Democratic Republic of the Congo,Mauritania,42
Gabon,Mauritania,84
Benin,Mauritania,541
Côte d'Ivoire,Mauritania,192
Ghana,Mauritania,204
Guinea,Mauritania,3042
Guinea-Bissau,Mauritania,1178
Mali,Mauritania,7483
Niger,Mauritania,148
Senegal,Mauritania,37730
Togo,Mauritania,114
Argentina,Mauritania,66
Brazil,Mauritania,157
Canada,Mauritania,50
United States of America,Mauritania,108
Algeria,Niger,438
Libya,Niger,149
Sudan,Niger,504
Cameroon,Niger,397
Chad,Niger,720
Benin,Niger,17081
Burkina Faso,Niger,18432
Côte d'Ivoire,Niger,1147
Ghana,Niger,1602
Mali,Niger,43060
Nigeria,Niger,18540
Senegal,Niger,1096
Togo,Niger,9253
Cameroon,Nigeria,10943
Chad,Nigeria,11871
Benin,Nigeria,143212
Ghana,Nigeria,90479
Liberia,Nigeria,8358
Mali,Nigeria,65493
Niger,Nigeria,45868
Sierra Leone,Nigeria,1658
Togo,Nigeria,60095
South Africa,Saint Helena,20
Lebanon,Senegal,862
Saudi Arabia,Senegal,1183
France,Senegal,10825
Germany,Senegal,682
Algeria,Senegal,3275
Morocco,Senegal,3219
Cameroon,Senegal,792
Central African Republic,Senegal,3
Democratic Republic of the Congo,Senegal,104
Benin,Senegal,2820
Côte d'Ivoire,Senegal,2195
Gambia,Senegal,4029
Ghana,Senegal,1395
Guinea,Senegal,40236
Guinea-Bissau,Senegal,23437
Liberia,Senegal,436
Mali,Senegal,26917
Mauritania,Senegal,59956
Niger,Senegal,1321
Nigeria,Senegal,663
Sierra Leone,Senegal,11638
Togo,Senegal,1308
Rwanda,Senegal,351
Brazil,Senegal,506
United States of America,Senegal,626
India,Sierra Leone,385
Lebanon,Sierra Leone,2083
Viet Nam,Sierra Leone,1
China,Sierra Leone,266
Japan,Sierra Leone,5
Republic of Korea,Sierra Leone,13
Germany,Sierra Leone,127
Russian Federation,Sierra Leone,71
Sudan,Sierra Leone,1
Chad,Sierra Leone,1
Equatorial Guinea,Sierra Leone,1
Benin,Sierra Leone,248
Burkina Faso,Sierra Leone,33
Cabo Verde,Sierra Leone,3
Côte d'Ivoire,Sierra Leone,70
Gambia,Sierra Leone,4984
Ghana,Sierra Leone,1242
Guinea,Sierra Leone,70385
Guinea-Bissau,Sierra Leone,22
Liberia,Sierra Leone,10813
Mali,Sierra Leone,1857
Mauritania,Sierra Leone,134
Niger,Sierra Leone,153
Nigeria,Sierra Leone,2012
Senegal,Sierra Leone,700
Togo,Sierra Leone,39
South Africa,Sierra Leone,227
Canada,Sierra Leone,36
United States of America,Sierra Leone,480
China,Togo,313
Belgium,Togo,32
France,Togo,1277
Germany,Togo,101
Cameroon,Togo,423
Central African Republic,Togo,226
Chad,Togo,433
Congo,Togo,155
Democratic Republic of the Congo,Togo,351
Equatorial Guinea,Togo,63
Gabon,Togo,545
Sao Tome and Principe,Togo,23
Benin,Togo,36908
Burkina Faso,Togo,8781
Cabo Verde,Togo,23
Côte d'Ivoire,Togo,2017
Gambia,Togo,646
Ghana,Togo,26455
Guinea,Togo,1970
Guinea-Bissau,Togo,77
Liberia,Togo,102
Mali,Togo,2699
Mauritania,Togo,85
Niger,Togo,22364
Nigeria,Togo,16087
Senegal,Togo,612
Sierra Leone,Togo,62
Rwanda,Togo,1452
Canada,Togo,23
United States of America,Togo,179
Iraq,Algeria,7579
Jordan,Algeria,2258
Kuwait,Algeria,1196
Lebanon,Algeria,1225
Saudi Arabia,Algeria,3926
State of Palestine,Algeria,31667
Syrian Arab Republic,Algeria,3073
Yemen,Algeria,2366
Indonesia,Algeria,1446
Malaysia,Algeria,877
Italy,Algeria,740
France,Algeria,556
Germany,Algeria,778
Russian Federation,Algeria,802
Libya,Algeria,2325
Sudan,Algeria,1597
Western Sahara,Algeria,165911
Somalia,Algeria,11570
United States of America,Algeria,1094
Afghanistan,Egypt,154
Bangladesh,Egypt,186
India,Egypt,910
Iran (Islamic Republic of),Egypt,111
Maldives,Egypt,21
Pakistan,Egypt,452
Sri Lanka,Egypt,164
Armenia,Egypt,118
Azerbaijan,Egypt,24
Bahrain,Egypt,294
Cyprus,Egypt,63
Iraq,Egypt,7793
Israel,Egypt,518
